####################################################################################################
# Month: 03Mar                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/LEN                                   #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,03,1,272.6875
2009,03,2,273.03229167
2009,03,3,272.79583333
2009,03,4,271.453125
2009,03,5,271.82708333
2009,03,6,272.97291667
2009,03,7,271.4625
2009,03,8,271.44479167
2009,03,9,272.55416667
2009,03,10,273.1625
2009,03,11,274.35208333
2009,03,12,275.61875
2009,03,13,274.88541667
2009,03,14,274.28854167
2009,03,15,273.771875
2009,03,16,273.44375
2009,03,17,272.90625
2009,03,18,272.821875
2009,03,19,272.88229167
2009,03,20,272.62604167
2009,03,21,272.01979167
2009,03,22,271.30625
2009,03,23,272.54270833
2009,03,24,273.51979167
2009,03,25,273.66666667
2009,03,26,273.57395833
2009,03,27,273.228125
2009,03,28,273.33125
2009,03,29,272.84886364
2009,03,30,272.88522727
2009,03,31,273.16964286
2010,03,1,272.04895833
2010,03,2,272.39895833
2010,03,3,271.60625
2010,03,4,272.278125
2010,03,5,273.90833333
2010,03,6,273.47291667
2010,03,7,273.00625
2010,03,8,273.45104167
2010,03,9,274.54791667
2010,03,10,275.05104167
2010,03,11,273.665625
2010,03,12,271.659375
2010,03,13,271.94166667
2010,03,14,271.52708333
2010,03,15,271.27708333
2010,03,16,271.0375
2010,03,17,271.259375
2010,03,18,271.73541667
2010,03,19,271.60729167
2010,03,20,272.34479167
2010,03,21,271.43854167
2010,03,22,271.54479167
2010,03,23,271.08854167
2010,03,24,270.99895833
2010,03,25,272.271875
2010,03,26,273.24375
2010,03,27,272.084375
2010,03,28,272.41770833
2010,03,29,272.10227273
2010,03,30,271.7625
2010,03,31,271.06964286
2011,03,1,273.65208333
2011,03,2,272.8125
2011,03,3,272.81875
2011,03,4,273.00208333
2011,03,5,273.39166667
2011,03,6,274.115625
2011,03,7,273.18020833
2011,03,8,272.859375
2011,03,9,273.80208333
2011,03,10,273.46770833
2011,03,11,272.91770833
2011,03,12,272.221875
2011,03,13,272.67604167
2011,03,14,273.03229167
2011,03,15,272.32083333
2011,03,16,270.84166667
2011,03,17,270.9875
2011,03,18,271.54166667
2011,03,19,272.25208333
2011,03,20,272.65833333
2011,03,21,272.83645833
2011,03,22,272.315625
2011,03,23,273.55729167
2011,03,24,273.14166667
2011,03,25,273.21770833
2011,03,26,274.996875
2011,03,27,274.71354167
2011,03,28,273.734375
2011,03,29,272.37954545
2011,03,30,272.20568182
2011,03,31,274.69642857
2012,03,1,274.08958333
2012,03,2,273.396875
2012,03,3,273.80729167
2012,03,4,272.67916667
2012,03,5,272.71770833
2012,03,6,272.54791667
2012,03,7,273.98541667
2012,03,8,274.66458333
2012,03,9,274.01458333
2012,03,10,273.503125
2012,03,11,273.61979167
2012,03,12,273.8375
2012,03,13,274.740625
2012,03,14,274.05625
2012,03,15,273.13125
2012,03,16,273.24375
2012,03,17,272.81041667
2012,03,18,272.003125
2012,03,19,272.92395833
2012,03,20,272.07916667
2012,03,21,272.38229167
2012,03,22,272.63541667
2012,03,23,272.03645833
2012,03,24,271.26041667
2012,03,25,271.971875
2012,03,26,273.65416667
2012,03,27,274.06770833
2012,03,28,272.91770833
2012,03,29,272.12708333
2012,03,30,273.35
2012,03,31,274.72321429
2013,03,1,270.75104167
2013,03,2,271.98125
2013,03,3,272.5375
2013,03,4,273.628125
2013,03,5,273.79375
2013,03,6,273.62604167
2013,03,7,273.75416667
2013,03,8,274.23645833
2013,03,9,273.25416667
2013,03,10,273.50416667
2013,03,11,273.12916667
2013,03,12,272.490625
2013,03,13,273.00729167
2013,03,14,273.684375
2013,03,15,274.55729167
2013,03,16,274.34375
2013,03,17,273.95520833
2013,03,18,273.38854167
2013,03,19,272.73645833
2013,03,20,271.90833333
2013,03,21,271.47708333
2013,03,22,272.35729167
2013,03,23,272.52916667
2013,03,24,273.77395833
2013,03,25,273.93958333
2013,03,26,273.06875
2013,03,27,272.69583333
2013,03,28,272.8625
2013,03,29,273.03636364
2013,03,30,273.12045455
2013,03,31,271.31428571
2014,03,1,271.10104167
2014,03,2,270.89375
2014,03,3,271.175
2014,03,4,272.18541667
2014,03,5,271.43020833
2014,03,6,271.37708333
2014,03,7,273.175
2014,03,8,274.53125
2014,03,9,273.60416667
2014,03,10,272.67604167
2014,03,11,272.33333333
2014,03,12,271.978125
2014,03,13,273.01979167
2014,03,14,273.409375
2014,03,15,273.79270833
2014,03,16,273.66458333
2014,03,17,274.44166667
2014,03,18,274.49479167
2014,03,19,274.75104167
2014,03,20,274.60625
2014,03,21,272.29270833
2014,03,22,272.12916667
2014,03,23,272.86145833
2014,03,24,272.35
2014,03,25,272.240625
2014,03,26,272.73645833
2014,03,27,273.15416667
2014,03,28,273.996875
2014,03,29,272.27727273
2014,03,30,270.70113636
2014,03,31,270.56785714
2015,03,1,272.72708333
2015,03,2,272.434375
2015,03,3,272.55104167
2015,03,4,274.11979167
2015,03,5,273.86979167
2015,03,6,273.56666667
2015,03,7,272.37291667
2015,03,8,271.859375
2015,03,9,270.82395833
2015,03,10,270.96666667
2015,03,11,272.85729167
2015,03,12,273.11770833
2015,03,13,271.36354167
2015,03,14,271.225
2015,03,15,271.69895833
2015,03,16,271.96041667
2015,03,17,272.65729167
2015,03,18,272.69791667
2015,03,19,272.27083333
2015,03,20,271.671875
2015,03,21,272.059375
2015,03,22,271.67395833
2015,03,23,273.29583333
2015,03,24,273.425
2015,03,25,272.453125
2015,03,26,273.78020833
2015,03,27,273.76145833
2015,03,28,273.81458333
2015,03,29,273.18295455
2015,03,30,273.06477273
2015,03,31,272.87857143
2016,03,1,271.36354167
2016,03,2,271.35340909
2016,03,3,271.88295455
2016,03,4,271.0
2016,03,5,271.51041667
2016,03,6,272.96875
2016,03,7,272.95416667
2016,03,8,272.11979167
2016,03,9,272.96979167
2016,03,10,273.68333333
2016,03,11,273.96770833
2016,03,12,272.625
2016,03,13,272.96666667
2016,03,14,273.053125
2016,03,15,273.37916667
2016,03,16,273.48125
2016,03,17,272.67083333
2016,03,18,272.521875
2016,03,19,273.25729167
2016,03,20,273.146875
2016,03,21,274.78958333
2016,03,22,275.63125
2016,03,23,275.12916667
2016,03,24,272.471875
2016,03,25,271.47395833
2016,03,26,271.63541667
2016,03,27,272.928125
2016,03,28,273.80208333
2016,03,29,274.15
2016,03,30,272.82386364
2016,03,31,270.75
2017,03,1,273.47291667
