####################################################################################################
# Month: 05May                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/BLDR                                  #
# Columns are: year    month   day     PWV (mm)                                                    #
####################################################################################################
year,month,day,PWV
2009,05,1,6.4298925
2009,05,2,7.20368677
2009,05,3,7.62357906
2009,05,4,6.55036499
2009,05,5,6.64247455
2009,05,6,6.45355788
2009,05,7,6.38313431
2009,05,8,6.23287529
2009,05,9,5.82259604
2009,05,10,6.11167612
2009,05,11,6.49626362
2009,05,12,7.09835917
2009,05,13,7.62800156
2009,05,14,7.73133903
2009,05,15,7.37175188
2009,05,16,6.29591581
2009,05,17,6.28050479
2009,05,18,6.20563892
2009,05,19,6.48337496
2009,05,20,7.15124736
2009,05,21,6.92487568
2009,05,22,6.69358323
2009,05,23,8.2621901
2009,05,24,7.99024581
2009,05,25,8.53569312
2009,05,26,8.47001551
2009,05,27,6.12257548
2009,05,28,5.89856858
2009,05,29,6.72294159
2009,05,30,7.39002477
2009,05,31,6.76656714
2010,05,1,7.42164146
2010,05,2,7.88350239
2010,05,3,7.43375729
2010,05,4,7.50161031
2010,05,5,7.92380479
2010,05,6,7.8227975
2010,05,7,6.6783541
2010,05,8,7.80487215
2010,05,9,7.62244198
2010,05,10,6.4800451
2010,05,11,6.06244396
2010,05,12,6.2499142
2010,05,13,5.99530858
2010,05,14,6.33593323
2010,05,15,5.94449199
2010,05,16,5.56901677
2010,05,17,5.6851776
2010,05,18,6.86581479
2010,05,19,7.17934312
2010,05,20,7.06798625
2010,05,21,7.32302302
2010,05,22,7.82884906
2010,05,23,7.73118875
2010,05,24,5.75815125
2010,05,25,5.52097624
2010,05,26,6.22983396
2010,05,27,6.42898469
2010,05,28,7.30956776
2010,05,29,7.26271693
2010,05,30,7.10846031
2010,05,31,7.01618554
2011,05,1,7.22353379
2011,05,2,7.965838
2011,05,3,7.23317242
2011,05,4,6.97622729
2011,05,5,6.84280369
2011,05,6,7.30221388
2011,05,7,7.05382594
2011,05,8,6.77930198
2011,05,9,6.27990378
2011,05,10,5.59635498
2011,05,11,6.04234402
2011,05,12,6.79909094
2011,05,13,7.1889874
2011,05,14,7.7938849
2011,05,15,7.20894569
2011,05,16,7.15447469
2011,05,17,8.18959844
2011,05,18,6.90770104
2011,05,19,7.90902302
2011,05,20,7.43894708
2011,05,21,7.32464833
2011,05,22,5.8563226
2011,05,23,5.93010812
2011,05,24,6.6709585
2011,05,25,7.4372259
2011,05,26,7.50530667
2011,05,27,7.683707
2011,05,28,7.34357736
2011,05,29,8.38853795
2011,05,30,7.4867792
2011,05,31,7.53627821
2012,05,1,7.98686154
2012,05,2,8.26729469
2012,05,3,7.47910656
2012,05,4,6.76857479
2012,05,5,6.85303229
2012,05,6,7.18726878
