####################################################################################################
# Month: 12Dec                                                                                     #
# Station: DomeC                                                                                   #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,0.04572037,15.21433
2009,12,1,1,0.04583729,15.23457
2009,12,1,2,0.04641374,15.3834
2009,12,1,3,0.04564566,15.22452
2009,12,1,4,0.04484531,15.05369
2009,12,1,5,0.04442713,14.94721
2009,12,1,6,0.04382522,14.79781
2009,12,1,7,0.04331166,14.68168
2009,12,2,0,0.04394436,14.81806
2009,12,2,1,0.0457482,15.22646
2009,12,2,2,0.04608525,15.33586
2009,12,2,3,0.04535937,15.17959
2009,12,2,4,0.04474131,15.04823
2009,12,2,5,0.04577827,15.32621
2009,12,2,6,0.04611476,15.39369
2009,12,2,7,0.04836,15.88797
2009,12,3,0,0.05133535,16.56424
2009,12,3,1,0.05124341,16.54185
2009,12,3,2,0.05036518,16.34889
2009,12,3,3,0.04840525,15.91619
2009,12,3,4,0.0462915,15.44363
2009,12,3,5,0.04629771,15.46446
2009,12,3,6,0.04500788,15.14121
2009,12,3,7,0.04146972,14.30854
2009,12,4,0,0.04073636,14.15752
2009,12,4,1,0.04054434,14.14747
2009,12,4,2,0.04034759,14.14524
2009,12,4,3,0.0395315,13.97315
2009,12,4,4,0.03851419,13.75392
2009,12,4,5,0.03758653,13.53923
2009,12,4,6,0.03797571,13.63338
2009,12,4,7,0.03800165,13.62741
2009,12,5,0,0.03863039,13.77861
2009,12,5,1,0.04032203,14.18636
2009,12,5,2,0.04294329,14.80492
2009,12,5,3,0.04496769,15.29404
2009,12,5,4,0.04736691,15.87481
2009,12,5,5,0.05087506,16.69497
2009,12,5,6,0.05351487,17.29833
2009,12,5,7,0.05193628,16.94773
2009,12,6,0,0.04760481,15.94113
2009,12,6,1,0.04550014,15.42817
2009,12,6,2,0.04610039,15.56123
2009,12,6,3,0.04711134,15.79796
2009,12,6,4,0.04775398,15.95392
2009,12,6,5,0.04988106,16.44218
2009,12,6,6,0.05219057,16.96858
2009,12,6,7,0.05317007,17.20186
2009,12,7,0,0.05552339,17.73186
2009,12,7,1,0.06066169,18.89201
2009,12,7,2,0.0626767,19.35861
2009,12,7,3,0.06267073,19.37928
2009,12,7,4,0.06240435,19.34629
