####################################################################################################
# Month: 11Nov                                                                                     #
# Station: BRZ                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,11,1,0,2.680207,257.411
2009,11,1,1,3.299885,265.7644
2009,11,1,2,3.57738,268.1446
2009,11,1,3,3.199118,264.737
2009,11,1,4,3.17155,265.4061
2009,11,1,5,4.089936,272.5486
2009,11,1,6,3.806043,270.4228
2009,11,1,7,3.457108,268.3511
2009,11,2,0,3.312052,267.4093
2009,11,2,1,3.525269,268.4594
2009,11,2,2,3.332555,267.2053
2009,11,2,3,3.345599,267.992
2009,11,2,4,3.103386,265.56
2009,11,2,5,2.697203,259.5053
2009,11,2,6,2.716562,259.614
2009,11,2,7,2.957708,263.6297
2009,11,3,0,3.001002,265.0067
2009,11,3,1,3.690133,271.2097
2009,11,3,2,4.352515,275.1213
2009,11,3,3,4.619267,276.4783
2009,11,3,4,3.867864,272.806
2009,11,3,5,3.152171,266.3731
2009,11,3,6,2.802885,261.1926
2009,11,3,7,2.391413,252.0839
2009,11,4,0,2.199845,246.8404
2009,11,4,1,2.374976,251.3269
2009,11,4,2,2.24509,247.3759
2009,11,4,3,2.270466,247.7909
2009,11,4,4,2.250011,247.5334
2009,11,4,5,2.185239,245.6402
2009,11,4,6,2.115998,243.4019
2009,11,4,7,2.188638,245.5877
2009,11,5,0,2.030584,240.3402
2009,11,5,1,1.659108,223.8299
2009,11,5,2,1.354394,203.996
2009,11,5,3,0.8849579,159.9902
2009,11,5,4,0.7390816,142.1726
2009,11,5,5,1.100236,182.8195
2009,11,5,6,1.73429,227.2451
2009,11,5,7,2.151214,245.0554
2009,11,6,0,1.716958,228.1168
2009,11,6,1,1.297374,201.9086
2009,11,6,2,1.107675,185.976
2009,11,6,3,1.009861,176.7695
2009,11,6,4,1.167195,191.0761
2009,11,6,5,1.205608,194.1694
2009,11,6,6,1.525423,217.8039
2009,11,6,7,1.275547,201.0361
2009,11,7,0,1.046261,181.4391
2009,11,7,1,0.9241829,168.7807
2009,11,7,2,0.8529166,160.8745
2009,11,7,3,0.8121858,156.0521
2009,11,7,4,0.8667867,162.9194
2009,11,7,5,1.086878,186.0199
2009,11,7,6,1.321821,205.9045
2009,11,7,7,1.144427,191.6273
2009,11,8,0,1.194677,195.8693
2009,11,8,1,1.261972,201.2699
2009,11,8,2,1.26656,201.8574
2009,11,8,3,1.343496,207.9107
2009,11,8,4,1.698734,228.8805
2009,11,8,5,2.6369,259.2737
2009,11,8,6,3.562625,271.5412
2009,11,8,7,3.699297,272.2956
2009,11,9,0,3.612565,271.3078
2009,11,9,1,3.546595,270.6521
2009,11,9,2,3.758172,272.0818
2009,11,9,3,3.892536,272.8066
2009,11,9,4,4.00596,273.1738
2009,11,9,5,4.351478,275.0488
2009,11,9,6,4.56106,276.0345
2009,11,9,7,4.481411,275.8209
2009,11,10,0,4.28136,275.2542
2009,11,10,1,4.237813,275.0355
2009,11,10,2,4.355878,275.0876
2009,11,10,3,4.4879,275.0163
2009,11,10,4,4.502785,275.135
2009,11,10,5,4.662286,275.935
2009,11,10,6,4.733126,276.6624
2009,11,10,7,4.93679,277.1858
2009,11,11,0,4.667022,276.8791
2009,11,11,1,4.410402,276.3725
2009,11,11,2,4.28503,275.7993
2009,11,11,3,4.248002,275.635
2009,11,11,4,4.175538,275.408
2009,11,11,5,4.323314,276.4476
2009,11,11,6,4.877611,277.9869
2009,11,11,7,5.237146,278.944
2009,11,12,0,4.63102,278.0113
2009,11,12,1,4.140552,276.5129
2009,11,12,2,3.912291,275.4785
2009,11,12,3,4.163327,276.1029
2009,11,12,4,4.342381,276.9825
2009,11,12,5,4.524272,277.7081
2009,11,12,6,4.677239,278.1085
2009,11,12,7,4.687643,278.1276
2009,11,13,0,4.089124,276.176
2009,11,13,1,3.578398,273.4767
2009,11,13,2,3.391999,271.591
2009,11,13,3,3.688155,273.8265
2009,11,13,4,3.433474,272.0612
2009,11,13,5,3.123315,269.1808
2009,11,13,6,3.154244,270.0181
2009,11,13,7,2.561136,260.5383
2009,11,14,0,1.950344,242.1002
2009,11,14,1,1.280635,204.7258
2009,11,14,2,1.034679,183.52
2009,11,14,3,0.8426383,162.8096
2009,11,14,4,0.8491592,163.9761
2009,11,14,5,0.9643666,176.278
2009,11,14,6,0.8984923,167.8522
2009,11,14,7,0.8847354,166.1048
2009,11,15,0,1.435004,214.5964
2009,11,15,1,1.945062,241.6762
2009,11,15,2,2.189861,249.4195
2009,11,15,3,1.79586,234.5926
2009,11,15,4,2.353316,254.3741
2009,11,15,5,3.069101,268.0645
2009,11,15,6,4.060573,276.3161
2009,11,15,7,5.147574,279.4762
2009,11,16,0,5.475527,280.3345
2009,11,16,1,4.707393,277.6015
2009,11,16,2,3.758668,271.3756
2009,11,16,3,3.087829,265.3226
2009,11,16,4,2.913829,263.0756
2009,11,16,5,3.056551,264.9999
2009,11,16,6,3.9544,272.2804
2009,11,16,7,4.291626,274.2807
2009,11,17,0,4.602961,275.9064
2009,11,17,1,4.03508,272.537
2009,11,17,2,3.979482,272.9562
2009,11,17,3,3.986168,273.5675
2009,11,17,4,3.395687,269.7075
2009,11,17,5,3.272303,268.5128
2009,11,17,6,3.194211,267.9715
2009,11,17,7,2.295247,252.3004
2009,11,18,0,1.59971,224.6946
2009,11,18,1,1.08068,186.9415
2009,11,18,2,0.7358259,149.2085
2009,11,18,3,0.5553823,123.0192
2009,11,18,4,0.5278703,118.6203
2009,11,18,5,0.6072123,130.9696
2009,11,18,6,1.039637,183.5515
2009,11,18,7,1.43905,215.5577
2009,11,19,0,1.556856,222.5927
2009,11,19,1,1.553678,221.8692
2009,11,19,2,1.120927,189.8986
2009,11,19,3,0.9856539,176.9287
2009,11,19,4,1.240049,199.9953
2009,11,19,5,1.375465,210.3966
2009,11,19,6,1.332093,207.2804
2009,11,19,7,1.127403,189.9397
2009,11,20,0,0.9897565,176.9261
2009,11,20,1,0.9392294,171.6861
2009,11,20,2,0.7720688,152.325
2009,11,20,3,0.6570967,136.844
2009,11,20,4,0.5175684,115.735
2009,11,20,5,0.4839303,109.9145
2009,11,20,6,0.5402336,119.0419
2009,11,20,7,0.6453659,134.7681
2009,11,21,0,0.7024596,142.6497
2009,11,21,1,0.6804592,139.5965
2009,11,21,2,0.6620514,136.5461
2009,11,21,3,0.6553025,134.8548
2009,11,21,4,0.6061682,126.5724
2009,11,21,5,0.5648434,120.026
2009,11,21,6,0.5227783,113.7731
2009,11,21,7,0.4937351,109.3602
2009,11,22,0,0.4762032,106.4302
2009,11,22,1,0.4733017,105.5923
2009,11,22,2,0.5185773,112.3655
2009,11,22,3,0.553012,117.0996
2009,11,22,4,0.546844,115.3441
2009,11,22,5,0.5306935,112.6633
2009,11,22,6,0.5030389,108.0664
2009,11,22,7,0.4863625,105.4552
2009,11,23,0,0.5237957,111.6026
2009,11,23,1,0.6023459,123.9085
2009,11,23,2,0.838186,155.754
2009,11,23,3,0.9916988,172.6379
2009,11,23,4,1.150292,187.6268
2009,11,23,5,1.551367,217.4306
2009,11,23,6,2.357648,251.3179
2009,11,23,7,2.692666,259.4611
2009,11,24,0,2.780659,261.0911
2009,11,24,1,2.650197,258.5062
2009,11,24,2,2.397719,252.6233
2009,11,24,3,2.346912,251.6288
2009,11,24,4,2.334894,251.4318
2009,11,24,5,2.989238,264.4001
2009,11,24,6,3.668538,271.1982
2009,11,24,7,3.761479,272.0623
2009,11,25,0,3.315455,268.3102
2009,11,25,1,2.42282,253.6666
2009,11,25,2,1.87315,235.3369
2009,11,25,3,1.602588,221.6094
2009,11,25,4,1.246055,197.6899
2009,11,25,5,1.340792,205.0256
2009,11,25,6,2.064226,243.0428
2009,11,25,7,2.221784,248.0878
2009,11,26,0,2.00082,240.7931
2009,11,26,1,1.809688,232.6668
2009,11,26,2,1.602764,221.6681
2009,11,26,3,1.30725,201.3802
2009,11,26,4,1.184753,190.5972
2009,11,26,5,1.307924,199.0991
2009,11,26,6,1.369475,204.0822
2009,11,26,7,1.485289,212.9654
2009,11,27,0,1.586933,220.5001
2009,11,27,1,1.607731,222.3148
2009,11,27,2,1.583808,220.918
2009,11,27,3,1.386676,208.1803
2009,11,27,4,1.543065,218.2988
2009,11,27,5,2.296848,250.0621
2009,11,27,6,3.06874,265.3868
2009,11,27,7,2.834113,261.7445
2009,11,28,0,2.290745,249.9661
2009,11,28,1,2.016123,240.7912
2009,11,28,2,1.71416,227.3791
2009,11,28,3,1.57043,218.845
2009,11,28,4,1.572721,218.4178
2009,11,28,5,1.364732,204.9078
2009,11,28,6,1.734947,228.8965
2009,11,28,7,2.633272,257.9502
2009,11,29,0,2.900589,262.5644
2009,11,29,1,2.772152,260.0473
2009,11,29,2,2.983584,263.213
2009,11,29,3,3.044562,263.8575
2009,11,29,4,3.502764,268.7594
2009,11,29,5,4.109784,272.5305
2009,11,29,6,3.866995,271.5023
2009,11,29,7,4.121298,273.2152
2009,11,30,0,4.256606,274.4637
2009,11,30,1,4.385726,275.4319
2009,11,30,2,4.107616,274.3561
2009,11,30,3,4.157957,273.9803
2009,11,30,4,4.064058,273.0227
2009,11,30,5,4.468522,274.6508
2009,11,30,6,5.058916,276.5531
2009,11,30,7,5.320724,277.8637
2010,11,1,0,3.046503,262.9651
2010,11,1,1,3.272936,265.5354
2010,11,1,2,3.454032,266.9898
2010,11,1,3,3.331873,266.0842
2010,11,1,4,3.745939,269.4734
2010,11,1,5,4.408415,273.5654
2010,11,1,6,4.889465,275.9383
2010,11,1,7,4.726235,275.4052
2010,11,2,0,4.136732,272.8146
2010,11,2,1,4.133374,273.0458
