####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BAN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,1.906799,226.1951
2009,07,1,1,1.598646,213.0977
2009,07,1,2,1.549142,210.3773
2009,07,1,3,1.440619,203.4413
2009,07,1,4,1.347175,197.3108
2009,07,1,5,1.448911,203.5319
2009,07,1,6,1.697196,216.5273
2009,07,1,7,1.827118,222.0207
2009,07,2,0,1.813064,222.1171
2009,07,2,1,1.376987,199.8466
2009,07,2,2,1.194192,186.5701
2009,07,2,3,1.05016,174.2684
2009,07,2,4,0.9900336,168.6878
2009,07,2,5,1.144447,182.2519
2009,07,2,6,1.442031,203.1463
2009,07,2,7,1.386034,199.4589
2009,07,3,0,1.398557,200.8594
2009,07,3,1,1.340223,197.371
2009,07,3,2,1.296387,194.8259
2009,07,3,3,1.351368,198.6091
2009,07,3,4,1.473519,205.7567
2009,07,3,5,1.544616,209.3965
2009,07,3,6,1.654563,215.4451
2009,07,3,7,1.61584,213.0045
2009,07,4,0,1.573637,211.66
2009,07,4,1,1.371486,200.0127
2009,07,4,2,1.312063,195.4311
2009,07,4,3,1.341966,197.4751
2009,07,4,4,1.465185,205.564
2009,07,4,5,1.51003,208.4604
2009,07,4,6,1.58524,213.082
2009,07,4,7,1.566184,212.3865
2009,07,5,0,1.490084,208.3823
2009,07,5,1,1.277739,194.7155
2009,07,5,2,1.092609,180.3385
2009,07,5,3,0.8815011,160.1301
2009,07,5,4,0.7250026,141.853
2009,07,5,5,0.6328037,129.6155
2009,07,5,6,0.5445662,116.8703
2009,07,5,7,0.6726362,135.6948
2009,07,6,0,0.6919522,138.1993
2009,07,6,1,0.8705329,158.4861
2009,07,6,2,1.570962,214.0631
2009,07,6,3,2.11867,237.5296
2009,07,6,4,2.247275,240.5678
2009,07,6,5,2.002912,232.0255
2009,07,6,6,1.938602,230.2972
2009,07,6,7,2.390854,245.0029
2009,07,7,0,2.389654,245.6224
2009,07,7,1,2.333819,243.8823
2009,07,7,2,2.627476,251.2435
2009,07,7,3,2.938177,257.1018
2009,07,7,4,2.813329,254.3542
2009,07,7,5,2.566405,249.0167
2009,07,7,6,2.404121,244.6437
