####################################################################################################
# Month: 09Sep                                                                                     #
# Station: YAN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.8632816,155.3543
2009,09,1,1,0.8113786,149.5284
2009,09,1,2,0.7171593,138.3606
2009,09,1,3,0.6091711,123.9751
2009,09,1,4,0.4776294,104.4625
2009,09,1,5,0.610083,124.1146
2009,09,1,6,0.787455,147.102
2009,09,1,7,0.8813762,157.361
2009,09,2,0,0.8964785,158.4801
2009,09,2,1,0.7965258,147.7997
2009,09,2,2,0.6069065,124.2329
2009,09,2,3,0.6484546,129.5473
2009,09,2,4,0.7385837,141.1734
2009,09,2,5,0.5259219,112.148
2009,09,2,6,0.4940155,107.1004
2009,09,2,7,0.4260627,96.0137
2009,09,3,0,0.354096,83.61685
2009,09,3,1,0.2272507,59.04336
2009,09,3,2,0.1440855,41.008
2009,09,3,3,0.1200856,35.47731
2009,09,3,4,0.1060342,32.28702
2009,09,3,5,0.1224382,36.18147
2009,09,3,6,0.1465053,41.60079
2009,09,3,7,0.1330067,38.6112
2009,09,4,0,0.0968677,30.19071
2009,09,4,1,0.1035275,31.84569
2009,09,4,2,0.1008387,31.24106
2009,09,4,3,0.1110964,33.2746
2009,09,4,4,0.1067216,32.09724
2009,09,4,5,0.1524062,42.81943
2009,09,4,6,0.1932996,51.7652
2009,09,4,7,0.1706338,46.98033
2009,09,5,0,0.09614032,30.14646
2009,09,5,1,0.06988407,23.73054
2009,09,5,2,0.06059222,21.37251
2009,09,5,3,0.06886357,23.427
2009,09,5,4,0.07505818,24.8576
2009,09,5,5,0.08347194,26.92932
2009,09,5,6,0.3180925,76.99293
2009,09,5,7,0.3888206,89.60432
2009,09,6,0,0.1931231,51.86785
2009,09,6,1,0.09657949,30.22057
2009,09,6,2,0.07505108,24.9394
2009,09,6,3,0.06854019,23.34905
2009,09,6,4,0.06463605,22.39547
2009,09,6,5,0.08707727,27.94262
2009,09,6,6,0.2690534,67.97253
2009,09,6,7,0.4426338,99.13605
2009,09,7,0,0.5030241,108.9196
2009,09,7,1,0.3224972,78.53322
2009,09,7,2,0.2177917,57.80324
2009,09,7,3,0.1826296,50.15766
2009,09,7,4,0.1106356,33.6466
2009,09,7,5,0.1491264,42.58624
2009,09,7,6,0.3148182,76.76981
2009,09,7,7,0.4382313,97.77453
2009,09,8,0,0.3171872,76.2012
2009,09,8,1,0.1583657,44.30068
2009,09,8,2,0.08188783,26.6968
2009,09,8,3,0.05212221,19.26838
2009,09,8,4,0.05092452,18.90783
2009,09,8,5,0.08360754,27.18996
2009,09,8,6,0.1853387,50.38775
2009,09,8,7,0.4082007,92.59598
2009,09,9,0,0.3968795,90.93221
2009,09,9,1,0.1895186,51.34322
2009,09,9,2,0.07054658,23.87296
2009,09,9,3,0.05084076,18.85964
2009,09,9,4,0.04949601,18.48906
2009,09,9,5,0.1250371,37.0419
2009,09,9,6,0.2496764,63.61352
2009,09,9,7,0.3092974,74.99761
2009,09,10,0,0.164185,45.64135
2009,09,10,1,0.1037789,31.94648
2009,09,10,2,0.1030029,31.72826
2009,09,10,3,0.07340012,24.52949
2009,09,10,4,0.08025546,26.20428
2009,09,10,5,0.2892914,70.84186
2009,09,10,6,0.5579147,114.3955
2009,09,10,7,0.6681079,129.8327
2009,09,11,0,0.6828376,131.7741
2009,09,11,1,0.7369607,138.8664
2009,09,11,2,0.9073283,158.8209
2009,09,11,3,0.9857822,165.354
2009,09,11,4,0.9345555,160.1549
2009,09,11,5,1.089484,175.5763
2009,09,11,6,1.179221,183.5367
2009,09,11,7,1.24266,188.4797
2009,09,12,0,1.240397,188.402
2009,09,12,1,1.217429,186.7786
2009,09,12,2,1.196872,185.5314
2009,09,12,3,1.064034,174.7333
2009,09,12,4,0.9238864,161.2387
2009,09,12,5,0.9118248,160.0609
2009,09,12,6,0.9210486,160.9752
2009,09,12,7,0.9288766,162.1718
2009,09,13,0,0.9053186,159.992
2009,09,13,1,0.7133121,138.2292
2009,09,13,2,0.5506047,115.7846
2009,09,13,3,0.4560488,100.9916
2009,09,13,4,0.4020743,91.70827
2009,09,13,5,0.3604231,84.3037
2009,09,13,6,0.4600927,101.7444
2009,09,13,7,0.6490651,129.5768
2009,09,14,0,0.7604976,143.8708
2009,09,14,1,0.7005082,136.6325
2009,09,14,2,0.6114059,124.6095
2009,09,14,3,0.4892737,106.133
2009,09,14,4,0.3562878,83.60306
2009,09,14,5,0.432434,97.40928
2009,09,14,6,0.5697036,119.3048
2009,09,14,7,0.7823732,147.6222
2009,09,15,0,0.8672036,157.4137
2009,09,15,1,0.8047512,150.5024
2009,09,15,2,0.751245,143.9311
2009,09,15,3,0.8311359,152.9332
2009,09,15,4,0.9209441,162.7334
2009,09,15,5,0.8745399,157.4358
2009,09,15,6,0.7158683,139.2427
2009,09,15,7,0.6945671,136.3782
2009,09,16,0,0.7169083,138.8306
2009,09,16,1,0.6748881,133.0554
2009,09,16,2,0.5949019,121.8937
2009,09,16,3,0.5698655,117.9675
2009,09,16,4,0.6919564,134.3851
2009,09,16,5,0.9356449,161.8687
2009,09,16,6,1.028421,171.0367
2009,09,16,7,1.092528,176.9312
2009,09,17,0,1.049417,173.495
2009,09,17,1,0.9894003,167.9909
2009,09,17,2,1.035157,172.342
2009,09,17,3,1.166505,183.4627
2009,09,17,4,1.133467,180.7546
2009,09,17,5,1.077049,175.8739
2009,09,17,6,1.083382,177.0619
2009,09,17,7,1.076558,176.3399
2009,09,18,0,0.7776285,145.0561
2009,09,18,1,0.652506,129.309
2009,09,18,2,0.5610698,116.6952
2009,09,18,3,0.5074845,108.4101
2009,09,18,4,0.428423,95.79193
2009,09,18,5,0.4482676,99.45057
2009,09,18,6,0.6355728,127.9908
2009,09,18,7,0.7297361,140.7679
2009,09,19,0,0.7944713,148.9486
2009,09,19,1,0.7744056,146.9901
2009,09,19,2,0.6998905,137.6805
2009,09,19,3,0.6530654,131.2581
