####################################################################################################
# Month: 07Jul                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,2.416038,259.1107
2009,07,1,1,2.345426,258.2546
2009,07,1,2,2.665638,266.0151
2009,07,1,3,2.833489,269.0285
2009,07,1,4,2.947231,269.8897
2009,07,1,5,2.94643,269.5255
2009,07,1,6,2.820992,266.8372
2009,07,1,7,2.550918,261.0891
2009,07,2,0,2.675984,263.4369
2009,07,2,1,2.705471,264.4082
2009,07,2,2,2.7224,264.8649
2009,07,2,3,2.675622,263.9188
2009,07,2,4,2.611756,262.2564
2009,07,2,5,2.580185,261.1132
2009,07,2,6,2.513451,259.4977
2009,07,2,7,2.396986,256.4365
2009,07,3,0,2.517248,259.6575
2009,07,3,1,2.584124,262.5223
2009,07,3,2,2.650369,264.6127
2009,07,3,3,2.7048,265.7145
2009,07,3,4,2.596166,263.229
2009,07,3,5,2.452163,259.6675
2009,07,3,6,2.387587,257.6277
2009,07,3,7,2.375885,256.8677
2009,07,4,0,2.592484,262.1774
2009,07,4,1,2.667262,264.8958
2009,07,4,2,2.676689,265.5852
2009,07,4,3,2.58749,263.8865
2009,07,4,4,2.465558,261.2361
2009,07,4,5,2.339712,257.9153
2009,07,4,6,2.238274,254.863
2009,07,4,7,2.177092,252.8763
2009,07,5,0,2.375704,258.4248
2009,07,5,1,2.48386,262.5134
2009,07,5,2,2.497057,263.7053
2009,07,5,3,2.452527,262.9385
2009,07,5,4,2.566377,265.752
2009,07,5,5,2.64742,267.5719
2009,07,5,6,2.605683,266.4245
2009,07,5,7,2.604668,266.4225
2009,07,6,0,2.806263,270.1897
2009,07,6,1,2.795537,270.3047
2009,07,6,2,2.686754,269.051
2009,07,6,3,2.660934,268.338
2009,07,6,4,2.760547,269.7438
2009,07,6,5,2.851531,270.6308
2009,07,6,6,2.755718,269.4101
2009,07,6,7,3.016455,272.5642
2009,07,7,0,3.069946,273.4012
2009,07,7,1,3.21911,275.298
2009,07,7,2,2.289868,259.7099
2009,07,7,3,2.235661,258.7469
2009,07,7,4,2.364079,261.995
2009,07,7,5,2.445769,263.6435
2009,07,7,6,2.411807,262.9607
2009,07,7,7,2.387034,262.524
2009,07,8,0,2.448703,263.2114
2009,07,8,1,2.57551,266.1093
2009,07,8,2,2.467846,264.5738
2009,07,8,3,2.518433,265.321
2009,07,8,4,2.470208,262.9797
2009,07,8,5,3.015883,272.2028
2009,07,8,6,3.563192,278.9401
2009,07,8,7,3.578242,278.6898
2009,07,9,0,4.126437,282.4996
2009,07,9,1,5.399233,289.4338
2009,07,9,2,5.133,289.8527
2009,07,9,3,2.716456,267.5828
2009,07,9,4,2.138996,252.4554
2009,07,9,5,1.840453,241.4527
2009,07,9,6,1.888979,243.9648
2009,07,9,7,1.687344,234.7469
2009,07,10,0,1.44894,220.3468
2009,07,10,1,2.401534,262.3979
2009,07,10,2,2.502384,266.0338
2009,07,10,3,2.504221,265.4094
2009,07,10,4,1.933111,246.3673
2009,07,10,5,1.815335,240.8965
2009,07,10,6,1.730407,236.2973
2009,07,10,7,1.580162,227.0227
2009,07,11,0,1.471048,219.3057
2009,07,11,1,1.622941,228.8054
2009,07,11,2,1.678296,231.4476
2009,07,11,3,2.046995,246.7472
2009,07,11,4,2.325243,255.9671
2009,07,11,5,3.274302,273.5542
2009,07,11,6,3.250876,272.9617
2009,07,11,7,4.151834,281.9326
2009,07,12,0,4.613213,286.8092
2009,07,12,1,4.927473,288.2519
2009,07,12,2,4.978596,288.9695
2009,07,12,3,4.250534,286.5394
2009,07,12,4,4.041346,284.3143
2009,07,12,5,3.676483,280.6438
2009,07,12,6,3.290887,276.7531
2009,07,12,7,2.959619,272.6819
2009,07,13,0,3.155958,274.8743
2009,07,13,1,3.056899,273.9937
2009,07,13,2,3.245248,277.0105
2009,07,13,3,3.264871,276.9799
2009,07,13,4,4.734768,286.4665
