####################################################################################################
# Month: 11Nov                                                                                     #
# Station: WF                                                                                      #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,11,1,0,2.832938,267.1778
2009,11,1,1,2.78234,264.2902
2009,11,1,2,1.670701,223.9343
2009,11,1,3,1.446465,214.8438
2009,11,1,4,1.391939,205.9899
2009,11,1,5,1.072108,181.719
2009,11,1,6,0.9084818,166.6844
2009,11,1,7,0.931782,168.9467
2009,11,2,0,0.8794928,162.8623
2009,11,2,1,0.7650883,148.5761
2009,11,2,2,0.7053282,140.4229
2009,11,2,3,0.6934177,138.6373
2009,11,2,4,0.7476538,145.664
2009,11,2,5,0.9124727,164.7156
2009,11,2,6,1.011477,174.5664
2009,11,2,7,0.9955634,173.2005
2009,11,3,0,0.9296986,166.6639
2009,11,3,1,1.041838,177.7849
2009,11,3,2,1.145782,187.0241
2009,11,3,3,1.111739,183.5232
2009,11,3,4,0.9474732,167.3261
2009,11,3,5,0.8252064,154.3977
2009,11,3,6,0.9478643,168.1511
2009,11,3,7,1.061903,179.5867
2009,11,4,0,1.080438,179.7808
2009,11,4,1,0.643229,129.4295
2009,11,4,2,0.6919563,135.4886
2009,11,4,3,0.5604921,116.8445
2009,11,4,4,0.4091472,92.51314
2009,11,4,5,0.5019815,107.5463
2009,11,4,6,0.5227167,110.6974
2009,11,4,7,0.5449415,113.9237
2009,11,5,0,0.5804826,118.594
2009,11,5,1,0.6243722,124.323
2009,11,5,2,0.6808888,131.6923
2009,11,5,3,0.717909,137.0612
2009,11,5,4,0.7497631,141.6776
2009,11,5,5,1.043807,173.8238
2009,11,5,6,0.9312707,163.2435
2009,11,5,7,1.049466,174.1519
2009,11,6,0,0.9393865,163.2157
2009,11,6,1,0.821101,150.1364
2009,11,6,2,0.6944958,134.6741
2009,11,6,3,0.6346836,126.6124
2009,11,6,4,0.9126387,160.0167
2009,11,6,5,0.6191624,124.0909
2009,11,6,6,0.5637775,116.5673
2009,11,6,7,0.5822656,119.3673
2009,11,7,0,0.6205276,124.9711
2009,11,7,1,0.7467941,141.7041
2009,11,7,2,0.7437613,141.6133
2009,11,7,3,0.6895509,134.8641
2009,11,7,4,0.6743993,132.8561
2009,11,7,5,0.6947847,135.8271
2009,11,7,6,0.6401631,129.2369
2009,11,7,7,0.6060919,125.0826
2009,11,8,0,0.6066258,125.5482
2009,11,8,1,0.7242975,141.9176
2009,11,8,2,0.9413083,168.7232
2009,11,8,3,0.9741782,173.3635
2009,11,8,4,1.277761,201.2907
2009,11,8,5,1.323426,204.1942
2009,11,8,6,0.8346644,157.7268
2009,11,8,7,0.6334511,131.6654
2009,11,9,0,0.3216801,78.55095
2009,11,9,1,0.2598103,65.07688
2009,11,9,2,0.3293047,78.60503
2009,11,9,3,0.3530547,83.35694
2009,11,9,4,0.335347,80.37591
2009,11,9,5,0.4880397,109.099
2009,11,9,6,0.6360801,132.9779
2009,11,9,7,0.9759276,175.3195
2009,11,10,0,1.291037,203.1868
2009,11,10,1,1.356227,207.7331
2009,11,10,2,1.58133,222.9258
2009,11,10,3,1.966281,241.0457
2009,11,10,4,1.61441,222.6323
2009,11,10,5,0.8654304,158.8242
2009,11,10,6,0.9128428,163.8139
2009,11,10,7,0.9612582,168.5675
2009,11,11,0,0.9562924,168.0076
2009,11,11,1,1.099248,181.0669
2009,11,11,2,1.075045,178.057
2009,11,11,3,0.9530337,166.0437
2009,11,11,4,0.8842907,158.3015
2009,11,11,5,0.7375095,141.6689
2009,11,11,6,0.6950237,136.9666
2009,11,11,7,0.7081561,138.9927
2009,11,12,0,0.5952515,123.6636
2009,11,12,1,0.4406191,99.12831
2009,11,12,2,0.4756392,104.9083
2009,11,12,3,0.5787917,121.0045
2009,11,12,4,0.6277402,127.9898
2009,11,12,5,0.5556609,116.9864
2009,11,12,6,0.6178435,126.3619
2009,11,12,7,0.5624666,118.9695
2009,11,13,0,0.4182613,96.06935
2009,11,13,1,0.3655947,86.6287
2009,11,13,2,0.4884437,108.5181
2009,11,13,3,0.7283867,144.1429
2009,11,13,4,0.7029535,140.9842
2009,11,13,5,0.8745712,162.0965
2009,11,13,6,0.9830337,173.6055
2009,11,13,7,1.074551,182.2967
2009,11,14,0,1.224727,194.8963
2009,11,14,1,1.423018,209.4916
2009,11,14,2,1.774855,229.5578
2009,11,14,3,2.074728,241.9799
2009,11,14,4,2.220248,247.5136
2009,11,14,5,2.317434,251.2453
2009,11,14,6,2.552884,257.0758
2009,11,14,7,2.93031,264.9946
2009,11,15,0,3.319526,271.3005
2009,11,15,1,3.286243,271.6548
2009,11,15,2,3.522979,274.6999
2009,11,15,3,3.788183,277.0226
2009,11,15,4,3.387589,274.0522
2009,11,15,5,2.708977,264.6968
2009,11,15,6,2.429613,258.8489
2009,11,15,7,2.228885,253.3893
2009,11,16,0,1.973424,243.992
2009,11,16,1,1.782179,235.097
2009,11,16,2,1.594336,224.415
2009,11,16,3,1.427506,212.2452
2009,11,16,4,0.6560963,132.8915
2009,11,16,5,0.6666026,134.5682
2009,11,16,6,0.7619754,146.8735
2009,11,16,7,0.6640575,133.7033
2009,11,17,0,0.4939081,107.9078
2009,11,17,1,0.4321642,97.32171
2009,11,17,2,0.4074041,92.97152
2009,11,17,3,0.3446133,81.75386
2009,11,17,4,0.3154055,76.26058
2009,11,17,5,0.4174714,95.09751
2009,11,17,6,0.5527455,117.5064
2009,11,17,7,0.5939076,123.98
2009,11,18,0,0.5729977,121.0138
2009,11,18,1,0.4964805,109.1953
2009,11,18,2,0.4467766,100.9621
2009,11,18,3,0.4127967,95.25922
2009,11,18,4,0.3370294,81.6005
2009,11,18,5,0.302566,74.98814
2009,11,18,6,0.2962303,73.94406
2009,11,18,7,0.2696329,68.73185
2009,11,19,0,0.2249536,59.43471
2009,11,19,1,0.2095938,56.16289
2009,11,19,2,0.406101,95.62425
2009,11,19,3,0.8442761,159.6785
2009,11,19,4,0.976216,173.7836
2009,11,19,5,1.055495,181.2934
2009,11,19,6,1.333148,203.8795
2009,11,19,7,1.636063,223.3313
2009,11,20,0,1.684349,226.0958
2009,11,20,1,1.763156,229.6457
2009,11,20,2,1.582634,221.4611
2009,11,20,3,1.60589,223.4987
2009,11,20,4,1.885748,237.0639
2009,11,20,5,2.421892,255.2459
2009,11,20,6,1.66115,225.1253
2009,11,20,7,1.05377,179.6523
2009,11,21,0,1.295443,200.0171
2009,11,21,1,1.228271,194.7609
2009,11,21,2,0.9881801,173.5566
2009,11,21,3,0.9579901,170.3238
2009,11,21,4,0.9471539,168.618
2009,11,21,5,0.8133293,153.3308
2009,11,21,6,0.9236612,165.7232
2009,11,21,7,0.9288941,166.6974
2009,11,22,0,0.7016805,139.6118
2009,11,22,1,0.515869,112.1414
2009,11,22,2,0.4732256,105.0576
2009,11,22,3,0.4799472,106.247
2009,11,22,4,0.4768688,105.7558
2009,11,22,5,0.5573878,118.2644
2009,11,22,6,0.6406736,130.308
2009,11,22,7,0.6300076,128.7668
2009,11,23,0,0.606934,125.4701
2009,11,23,1,0.6339788,129.1559
2009,11,23,2,0.7082799,139.0858
2009,11,23,3,1.19773,189.6436
2009,11,23,4,2.120618,238.3458
2009,11,23,5,2.508764,248.853
2009,11,23,6,2.742977,253.8353
2009,11,23,7,2.447289,248.1182
2009,11,24,0,1.790187,226.9601
2009,11,24,1,1.674037,221.4923
2009,11,24,2,2.252751,245.325
2009,11,24,3,2.228482,244.8905
2009,11,24,4,2.01001,238.0122
2009,11,24,5,1.645395,222.1224
2009,11,24,6,1.466599,212.5433
2009,11,24,7,1.521343,216.0468
2009,11,25,0,1.572085,219.2567
2009,11,25,1,1.484813,214.4696
2009,11,25,2,1.792694,231.4974
2009,11,25,3,2.25765,248.8356
2009,11,25,4,2.584925,257.282
2009,11,25,5,3.191469,267.5926
2009,11,25,6,3.169338,267.5713
2009,11,25,7,3.498477,269.9046
2009,11,26,0,3.666325,270.0229
2009,11,26,1,2.918422,261.5572
2009,11,26,2,1.693793,226.0679
2009,11,26,3,1.189765,193.2179
2009,11,26,4,1.154436,189.9427
2009,11,26,5,1.13963,188.4771
2009,11,26,6,1.275698,199.5376
2009,11,26,7,1.53317,216.9707
2009,11,27,0,1.773801,229.1022
2009,11,27,1,2.556148,253.8605
2009,11,27,2,2.291247,246.9068
2009,11,27,3,1.669745,221.2729
2009,11,27,4,1.55084,215.432
2009,11,27,5,1.381634,205.4641
2009,11,27,6,1.299766,198.8266
2009,11,27,7,0.9978814,171.8521
2009,11,28,0,0.9845031,169.8903
2009,11,28,1,1.086823,179.1894
2009,11,28,2,1.230256,190.5031
2009,11,28,3,1.221915,190.0169
2009,11,28,4,1.074912,178.166
2009,11,28,5,0.9183668,162.7896
2009,11,28,6,0.6738915,134.4009
2009,11,28,7,0.5930192,123.8156
2009,11,29,0,0.6667433,133.5023
2009,11,29,1,0.7502502,143.7924
2009,11,29,2,0.7821361,147.566
2009,11,29,3,0.7169018,139.5003
2009,11,29,4,0.6612154,132.0711
2009,11,29,5,0.7577196,145.0808
2009,11,29,6,0.859435,158.1418
2009,11,29,7,0.8373237,156.4134
2009,11,30,0,0.8613711,159.0483
2009,11,30,1,0.923824,166.3987
2009,11,30,2,1.163007,190.4637
2009,11,30,3,1.249984,197.0032
2009,11,30,4,1.236836,195.9989
2009,11,30,5,1.461511,210.3804
2009,11,30,6,1.432879,206.5356
2009,11,30,7,1.301016,195.863
2010,11,1,0,0.4662686,101.0198
2010,11,1,1,0.4764297,102.3049
2010,11,1,2,0.4872763,104.1949
2010,11,1,3,0.4997683,106.5715
2010,11,1,4,0.5284804,110.9946
2010,11,1,5,0.5975376,121.0155
2010,11,1,6,0.6397483,127.439
2010,11,1,7,0.6548911,129.4674
2010,11,2,0,0.646012,127.966
2010,11,2,1,0.5938486,121.0411
2010,11,2,2,0.5919525,121.383
2010,11,2,3,0.5061101,108.6041
2010,11,2,4,0.4441429,98.49867
2010,11,2,5,0.4840082,105.1268
2010,11,2,6,0.4758262,104.4452
2010,11,2,7,0.5144957,111.0635
2010,11,3,0,0.5378035,114.8558
2010,11,3,1,0.5414301,115.321
2010,11,3,2,0.5641259,118.5347
2010,11,3,3,0.5978728,123.358
2010,11,3,4,0.6519935,130.6698
2010,11,3,5,0.6800338,133.7201
2010,11,3,6,0.7016994,136.3332
2010,11,3,7,0.664378,132.1884
2010,11,4,0,0.6160349,126.1749
2010,11,4,1,0.6968531,137.9289
2010,11,4,2,0.8121587,152.3872
2010,11,4,3,1.070666,178.5446
2010,11,4,4,1.478133,209.4096
2010,11,4,5,2.150113,240.9024
2010,11,4,6,1.848079,230.3053
2010,11,4,7,2.300931,248.1426
2010,11,5,0,3.504913,271.8454
2010,11,5,1,2.787287,262.5808
2010,11,5,2,2.963197,266.2428
2010,11,5,3,3.128708,269.4636
2010,11,5,4,2.969998,266.9262
2010,11,5,5,3.098023,269.1057
2010,11,5,6,2.142748,246.7169
2010,11,5,7,1.313234,204.3436
2010,11,6,0,0.9503895,170.8313
2010,11,6,1,0.9467906,169.53
2010,11,6,2,0.9540767,168.0462
2010,11,6,3,0.9871554,170.0318
2010,11,6,4,0.976452,168.108
2010,11,6,5,0.9415085,165.1601
2010,11,6,6,0.9562758,167.7175
2010,11,6,7,0.8589917,157.6332
2010,11,7,0,0.7250353,141.2786
2010,11,7,1,0.6728406,133.9998
2010,11,7,2,0.650794,130.8946
2010,11,7,3,0.6362826,129.1572
2010,11,7,4,0.61538,125.682
2010,11,7,5,0.6497053,129.9597
2010,11,7,6,0.8121442,150.2115
2010,11,7,7,0.8472185,154.6718
2010,11,8,0,1.031103,172.7769
2010,11,8,1,1.060215,176.2341
2010,11,8,2,1.05539,177.3239
2010,11,8,3,1.048988,182.6188
2010,11,8,4,1.450043,209.3011
2010,11,8,5,1.465492,210.6558
2010,11,8,6,1.432865,207.8008
2010,11,8,7,1.480143,210.3121
2010,11,9,0,1.626006,218.3804
2010,11,9,1,1.449793,208.1822
2010,11,9,2,1.293595,198.178
2010,11,9,3,1.114732,184.1884
2010,11,9,4,1.935437,234.8187
2010,11,9,5,2.630981,254.7468
2010,11,9,6,1.979298,236.1426
2010,11,9,7,1.482575,211.6737
2010,11,10,0,1.126396,185.6173
2010,11,10,1,1.207328,191.9952
2010,11,10,2,1.263467,195.1621
2010,11,10,3,1.092702,181.0379
2010,11,10,4,1.057944,178.0224
2010,11,10,5,0.7574386,144.9911
2010,11,10,6,0.5553857,118.1029
2010,11,10,7,0.5199783,112.966
2010,11,11,0,0.4692854,104.2185
2010,11,11,1,0.390448,90.44917
2010,11,11,2,0.3148239,76.48527
2010,11,11,3,0.2373376,61.06424
2010,11,11,4,0.1496391,41.93552
2010,11,11,5,0.1131319,33.16032
2010,11,11,6,0.1671869,45.75938
2010,11,11,7,0.2310079,59.79123
2010,11,12,0,0.2345242,60.47932
2010,11,12,1,0.1783144,48.0345
2010,11,12,2,0.1539125,42.44726
2010,11,12,3,0.1337514,37.69593
2010,11,12,4,0.1610853,44.10492
2010,11,12,5,0.3523501,84.76244
2010,11,12,6,0.5389199,117.4796
2010,11,12,7,0.6147843,129.1287
2010,11,13,0,0.670651,137.388
2010,11,13,1,0.7004928,141.6383
2010,11,13,2,0.7466946,147.7738
2010,11,13,3,0.7265875,145.2502
2010,11,13,4,0.7398169,146.9944
2010,11,13,5,0.7130043,143.3817
2010,11,13,6,0.635704,132.467
2010,11,13,7,0.5641909,121.8156
2010,11,14,0,0.4170368,97.30703
2010,11,14,1,0.3539742,85.51391
2010,11,14,2,0.4414144,101.0428
2010,11,14,3,0.5823785,123.6902
2010,11,14,4,0.6374732,131.5677
2010,11,14,5,0.6631665,134.8115
2010,11,14,6,0.8047935,152.9767
2010,11,14,7,0.8697451,160.6363
2010,11,15,0,0.7969823,152.0897
2010,11,15,1,0.7202078,142.2277
2010,11,15,2,0.7870469,150.4778
2010,11,15,3,0.9013066,163.3088
2010,11,15,4,1.284139,197.904
2010,11,15,5,1.979979,235.4743
2010,11,15,6,2.981712,259.9952
2010,11,15,7,2.081888,239.7507
2010,11,16,0,1.633934,220.819
2010,11,16,1,1.682561,223.9083
2010,11,16,2,1.634861,220.3553
2010,11,16,3,1.479854,210.208
2010,11,16,4,1.420189,206.5639
2010,11,16,5,1.223103,193.7919
2010,11,16,6,1.304771,200.5302
2010,11,16,7,1.412109,207.2807
2010,11,17,0,1.546164,215.0757
2010,11,17,1,1.533641,214.1617
2010,11,17,2,1.453418,209.6054
2010,11,17,3,2.054311,240.7774
2010,11,17,4,2.627399,258.948
2010,11,17,5,1.593144,221.2056
2010,11,17,6,1.846706,233.8365
2010,11,17,7,1.125053,187.528
2010,11,18,0,0.9088863,164.2001
2010,11,18,1,0.907186,162.2205
2010,11,18,2,0.8138204,151.1322
2010,11,18,3,0.6470754,130.0968
2010,11,18,4,0.5287463,113.1117
2010,11,18,5,0.538224,114.5515
2010,11,18,6,0.5402394,114.8859
2010,11,18,7,0.5726629,118.9649
2010,11,19,0,0.5909481,120.6939
2010,11,19,1,0.540271,112.8904
2010,11,19,2,0.5143506,108.7003
2010,11,19,3,0.4962612,105.9336
2010,11,19,4,0.6571352,129.5105
2010,11,19,5,0.6462541,128.1363
2010,11,19,6,0.5729876,117.8059
2010,11,19,7,0.4930299,105.5337
2010,11,20,0,0.4342687,95.71336
2010,11,20,1,0.4646526,100.2791
2010,11,20,2,0.5577805,114.6241
2010,11,20,3,0.5770476,118.8217
2010,11,20,4,0.7326302,141.363
2010,11,20,5,0.917545,163.3957
2010,11,20,6,0.7524159,144.9958
2010,11,20,7,0.5312221,113.4807
2010,11,21,0,0.3986041,90.79218
2010,11,21,1,0.447241,98.76147
2010,11,21,2,0.4487543,98.46835
2010,11,21,3,0.3341033,77.90956
2010,11,21,4,0.3646297,83.09584
2010,11,21,5,0.409837,92.77442
2010,11,21,6,0.4467975,97.4932
2010,11,21,7,0.4748302,103.3623
2010,11,22,0,0.4753475,104.3808
2010,11,22,1,0.5536166,114.7027
2010,11,22,2,0.5762533,118.5873
2010,11,22,3,0.5987254,122.8514
2010,11,22,4,1.037691,175.6874
2010,11,22,5,1.549119,215.2483
2010,11,22,6,1.953846,235.7803
2010,11,22,7,1.733544,226.4603
2010,11,23,0,1.5942,220.4048
2010,11,23,1,1.444308,212.8043
2010,11,23,2,1.655628,224.6121
2010,11,23,3,1.783249,231.0971
2010,11,23,4,1.562413,220.348
2010,11,23,5,1.425731,212.5861
2010,11,23,6,1.511475,217.0389
2010,11,23,7,1.609994,222.8477
2010,11,24,0,1.250434,199.2908
2010,11,24,1,0.605503,126.1439
2010,11,24,2,0.6259427,127.8413
2010,11,24,3,0.5229586,111.4021
2010,11,24,4,0.6714109,131.4176
2010,11,24,5,0.4404955,96.61602
2010,11,24,6,0.3466806,80.70124
2010,11,24,7,0.277311,67.51224
2010,11,25,0,0.2361747,59.02689
2010,11,25,1,0.212124,54.20543
2010,11,25,2,0.2255726,57.21834
2010,11,25,3,0.2513481,62.32277
2010,11,25,4,0.2190723,55.65432
2010,11,25,5,0.2070313,53.15955
2010,11,25,6,0.232328,58.16449
2010,11,25,7,0.2954311,70.21712
2010,11,26,0,0.3358037,78.29699
2010,11,26,1,0.4500276,98.26701
2010,11,26,2,0.5765652,118.3077
2010,11,26,3,1.214065,193.5922
2010,11,26,4,1.898266,232.2089
2010,11,26,5,2.579113,254.2616
2010,11,26,6,0.902376,161.6132
2010,11,26,7,0.5274971,112.6124
2010,11,27,0,0.4105794,92.73145
2010,11,27,1,0.4168104,92.93371
2010,11,27,2,0.4799341,102.4566
2010,11,27,3,0.506535,106.527
2010,11,27,4,0.4121757,91.86647
2010,11,27,5,0.434654,95.16319
2010,11,27,6,0.4669105,100.7568
2010,11,27,7,0.5284798,111.132
2010,11,28,0,0.4452381,97.84809
2010,11,28,1,0.4663499,100.4893
2010,11,28,2,0.3267288,75.97516
2010,11,28,3,0.2684145,65.22563
2010,11,28,4,0.379098,86.04555
2010,11,28,5,0.4116245,91.76068
2010,11,28,6,0.5247222,110.4225
2010,11,28,7,0.5813147,119.4331
2010,11,29,0,0.5370297,113.3215
2010,11,29,1,0.4835896,105.2141
2010,11,29,2,0.5405372,114.1596
2010,11,29,3,0.5593001,116.6478
2010,11,29,4,0.5519341,115.4971
2010,11,29,5,0.5183556,110.5557
2010,11,29,6,0.5596715,117.1888
2010,11,29,7,0.5619885,117.8665
2010,11,30,0,0.5331476,113.6875
2010,11,30,1,0.5117739,110.3668
2010,11,30,2,0.5100926,110.2915
2010,11,30,3,0.5197005,112.0051
2010,11,30,4,0.5992537,124.1543
2010,11,30,5,0.6681274,133.9974
2010,11,30,6,0.8063554,151.5039
2010,11,30,7,0.9440554,166.8215
2011,11,1,0,0.7380844,141.4331
2011,11,1,1,0.7294094,140.4068
2011,11,1,2,0.660779,131.6398
2011,11,1,3,0.6335055,128.3108
2011,11,1,4,0.6833067,134.9362
2011,11,1,5,0.7383426,142.0215
2011,11,1,6,0.7904918,149.1756
2011,11,1,7,0.7629341,146.5017
2011,11,2,0,0.7245915,142.0341
2011,11,2,1,0.6752952,135.7864
2011,11,2,2,0.6592556,133.6107
2011,11,2,3,0.6631449,134.0759
2011,11,2,4,0.6919048,137.8207
2011,11,2,5,0.7539706,145.7806
2011,11,2,6,0.790884,150.6515
2011,11,2,7,0.7901125,150.9437
2011,11,3,0,0.8256045,155.4653
2011,11,3,1,0.8673708,160.5011
2011,11,3,2,0.8960932,164.2117
2011,11,3,3,1.028043,178.0484
2011,11,3,4,1.018409,177.578
2011,11,3,5,1.090382,184.2599
2011,11,3,6,1.053583,181.6056
2011,11,3,7,1.192503,193.8672
2011,11,4,0,1.131007,189.0877
2011,11,4,1,1.148513,190.3815
2011,11,4,2,1.347832,204.0064
2011,11,4,3,1.037601,177.1037
2011,11,4,4,0.7428267,143.5578
2011,11,4,5,0.5849145,121.9268
2011,11,4,6,0.5128538,110.1788
2011,11,4,7,0.4823015,104.2818
2011,11,5,0,0.5878771,120.1374
2011,11,5,1,0.6193042,124.9806
2011,11,5,2,0.4993403,107.8407
2011,11,5,3,0.4806664,105.2488
2011,11,5,4,0.4714662,103.6944
2011,11,5,5,0.5305518,113.0781
2011,11,5,6,0.5171521,111.4545
2011,11,5,7,0.5133582,111.2891
2011,11,6,0,0.4518197,101.2896
2011,11,6,1,0.3794749,88.6633
2011,11,6,2,0.3377578,80.87305
2011,11,6,3,0.2904675,71.75693
2011,11,6,4,0.2502673,63.55277
2011,11,6,5,0.2073378,54.09472
2011,11,6,6,0.3476961,83.09318
2011,11,6,7,0.4559785,103.2222
2011,11,7,0,0.3493709,83.9255
2011,11,7,1,0.3058651,75.21112
2011,11,7,2,0.3911993,91.9457
2011,11,7,3,0.4428696,101.7455
2011,11,7,4,0.4309537,100.0027
2011,11,7,5,0.3694494,88.79113
2011,11,7,6,0.4894932,109.6872
2011,11,7,7,0.5929357,126.8658
2011,11,8,0,1.386402,211.2168
2011,11,8,1,1.52139,219.0611
2011,11,8,2,1.502634,217.4306
2011,11,8,3,1.323349,204.619
2011,11,8,4,0.986671,174.4953
2011,11,8,5,0.7650985,149.2277
2011,11,8,6,0.9693018,173.5183
