####################################################################################################
# Month: 12Dec                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/SGO                                   #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,12,1,604.46558448
2009,12,2,604.00713146
2009,12,3,602.30405188
2009,12,4,601.3246549
2009,12,5,601.11186271
2009,12,6,601.33338125
2009,12,7,600.20100125
2009,12,8,599.22815802
2009,12,9,598.3987424
2009,12,10,598.63924146
2009,12,11,600.56452646
2009,12,12,603.02954188
2009,12,13,603.55203927
2009,12,14,603.07037167
2009,12,15,601.88722167
2009,12,16,601.5102974
2009,12,17,600.16515281
2009,12,18,601.16450271
2009,12,19,600.77559021
2009,12,20,600.72384521
2009,12,21,600.64056594
2009,12,22,600.4758351
2009,12,23,602.41911771
2009,12,24,603.270775
2009,12,25,603.65582146
2009,12,26,602.70517729
2009,12,27,602.19115167
2009,12,28,602.26079385
2009,12,29,602.6251167
2009,12,30,603.72128602
2009,12,31,602.07289
2010,12,1,597.96144104
2010,12,2,599.75346146
2010,12,3,601.34181052
2010,12,4,603.62350833
2010,12,5,604.51771062
2010,12,6,603.26364208
2010,12,7,602.80540646
2010,12,8,603.00738625
2010,12,9,602.15199323
2010,12,10,600.82798521
2010,12,11,599.1909449
2010,12,12,598.88519958
2010,12,13,598.93373844
2010,12,14,598.6724199
2010,12,15,598.48464802
2010,12,16,597.08349208
2010,12,17,597.10936156
2010,12,18,597.8126899
2010,12,19,597.84906208
2010,12,20,596.72710354
2010,12,21,598.07920281
2010,12,22,600.61119646
2010,12,23,600.39881385
2010,12,24,600.42575521
2010,12,25,601.20716667
2010,12,26,601.41428208
2010,12,27,600.19273073
2010,12,28,599.96092458
2010,12,29,598.0626167
2010,12,30,596.72252932
2010,12,31,596.25736286
2011,12,1,605.41173844
2011,12,2,605.48310865
2011,12,3,606.22074719
2011,12,4,604.86354458
2011,12,5,603.96259583
2011,12,6,602.02167344
2011,12,7,602.21650198
2011,12,8,603.17038938
2011,12,9,603.8780649
2011,12,10,604.13721792
2011,12,11,603.05294073
2011,12,12,602.04303719
2011,12,13,602.39028135
2011,12,14,602.77971635
2011,12,15,604.55778656
2011,12,16,604.51176125
2011,12,17,601.71532625
2011,12,18,598.94932198
2011,12,19,600.71261208
2011,12,20,601.6381574
2011,12,21,601.36151073
2011,12,22,601.86623844
2011,12,23,602.00414313
2011,12,24,603.14696906
2011,12,25,604.54225896
2011,12,26,604.0016825
2011,12,27,603.28964917
2011,12,28,605.03620573
2011,12,29,604.9028758
2011,12,30,605.98826977
2011,12,31,609.22879036
2012,12,1,601.48642969
2012,12,2,600.60449375
2012,12,3,600.31800229
2012,12,4,599.53729073
2012,12,5,597.51750333
2012,12,6,598.45893656
2012,12,7,601.30211854
2012,12,8,601.94090406
2012,12,9,602.31663875
2012,12,10,601.84394417
2012,12,11,600.02646937
2012,12,12,597.76209125
2012,12,13,597.8575599
2012,12,14,599.19584312
2012,12,15,599.73327573
2012,12,16,600.43970083
2012,12,17,600.65084865
2012,12,18,599.19904979
2012,12,19,598.58158646
2012,12,20,599.52324604
2012,12,21,601.74586812
2012,12,22,602.98827688
2012,12,23,601.35964062
2012,12,24,601.47948708
2012,12,25,602.47113958
2012,12,26,603.11052042
2012,12,27,602.23987229
2012,12,28,601.48698958
2012,12,29,600.10084313
2012,12,30,600.76112716
2012,12,31,600.54327643
2013,12,1,601.58593958
2013,12,2,600.27866823
2013,12,3,600.26015781
2013,12,4,598.27776875
2013,12,5,596.76590896
2013,12,6,598.3197174
2013,12,7,600.46984385
2013,12,8,601.65113
2013,12,9,600.89040646
2013,12,10,601.63339729
2013,12,11,602.70236698
2013,12,12,603.09144854
2013,12,13,604.63153323
2013,12,14,605.70554729
2013,12,15,603.90667146
2013,12,16,602.71678542
2013,12,17,602.46205094
2013,12,18,602.89832396
2013,12,19,602.83910635
2013,12,20,601.53381667
2013,12,21,601.8297175
2013,12,22,601.48313167
2013,12,23,601.96671052
2013,12,24,603.63977708
2013,12,25,601.79723208
2013,12,26,602.29931083
2013,12,27,601.82914406
2013,12,28,601.87565333
2013,12,29,603.24118591
2013,12,30,603.78879307
2013,12,31,601.47758696
2014,12,1,601.86203823
2014,12,2,601.26001021
2014,12,3,602.11480667
2014,12,4,601.55081135
2014,12,5,600.35894031
2014,12,6,600.52120708
2014,12,7,599.64822635
2014,12,8,599.04275854
2014,12,9,599.6216124
2014,12,10,599.69329292
2014,12,11,600.13874188
2014,12,12,601.10982583
2014,12,13,601.81696438
2014,12,14,601.65993937
2014,12,15,600.48400333
2014,12,16,600.57217531
2014,12,17,601.09626812
2014,12,18,599.49614781
2014,12,19,599.39403312
2014,12,20,601.85133271
2014,12,21,602.60525104
2014,12,22,601.67688188
2014,12,23,600.43009438
2014,12,24,601.52134333
2014,12,25,600.91094802
2014,12,26,600.83296646
2014,12,27,601.82910917
2014,12,28,602.5120424
2014,12,29,603.57524625
2014,12,30,603.72479807
2014,12,31,602.80856911
2015,12,1,599.71431615
2015,12,2,600.85937417
2015,12,3,602.0474476
2015,12,4,602.96284625
2015,12,5,601.85050042
2015,12,6,600.57864667
2015,12,7,598.75710927
2015,12,8,598.09575094
2015,12,9,597.95375375
2015,12,10,597.59780177
2015,12,11,596.74928542
2015,12,12,597.40044427
2015,12,13,596.87600583
2015,12,14,596.73343396
2015,12,15,597.42260292
2015,12,16,597.52345917
2015,12,17,598.07893062
2015,12,18,595.78113458
2015,12,19,595.59046031
2015,12,20,598.24790625
2015,12,21,596.91426333
2015,12,22,597.29245479
2015,12,23,598.83699177
2015,12,24,598.51415281
2015,12,25,597.16580833
