####################################################################################################
# Month: 04Apr                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/DomeF                                 #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,04,1,233.684375
2009,04,2,233.08229167
2009,04,3,230.91145833
2009,04,4,232.40416667
2009,04,5,233.28333333
2009,04,6,234.05520833
2009,04,7,234.81979167
2009,04,8,236.05625
2009,04,9,234.88333333
2009,04,10,234.0875
2009,04,11,232.22083333
2009,04,12,231.14583333
2009,04,13,232.02708333
2009,04,14,232.42916667
2009,04,15,231.16666667
2009,04,16,233.815625
2009,04,17,233.58645833
2009,04,18,233.19375
2009,04,19,233.26041667
2009,04,20,232.271875
2009,04,21,232.4875
2009,04,22,232.575
2009,04,23,231.575
2009,04,24,230.403125
2009,04,25,232.3875
2009,04,26,233.87291667
2009,04,27,234.23645833
2009,04,28,234.859375
2009,04,29,236.46363636
2009,04,30,235.39090909
2009,04,31,236.63571429
2010,04,1,232.909375
2010,04,2,231.50416667
2010,04,3,231.03958333
2010,04,4,229.70625
2010,04,5,230.81979167
2010,04,6,232.22604167
2010,04,7,232.515625
2010,04,8,233.35729167
2010,04,9,233.078125
2010,04,10,233.12916667
2010,04,11,232.81979167
2010,04,12,231.72291667
2010,04,13,232.04270833
2010,04,14,233.82291667
2010,04,15,234.85625
2010,04,16,234.3
2010,04,17,234.303125
2010,04,18,234.86041667
2010,04,19,234.0875
2010,04,20,232.66875
2010,04,21,232.13333333
2010,04,22,232.090625
2010,04,23,231.93958333
2010,04,24,231.4
2010,04,25,229.87604167
2010,04,26,230.484375
2010,04,27,229.375
2010,04,28,230.8625
2010,04,29,232.49659091
2010,04,30,232.98295455
2010,04,31,233.675
2011,04,1,233.475
2011,04,2,232.07083333
2011,04,3,231.615625
2011,04,4,232.34583333
2011,04,5,233.84791667
2011,04,6,233.9
2011,04,7,232.78854167
2011,04,8,233.38854167
2011,04,9,232.32604167
2011,04,10,231.425
2011,04,11,233.02604167
2011,04,12,233.875
2011,04,13,234.21666667
2011,04,14,234.47083333
2011,04,15,232.8875
2011,04,16,233.34375
2011,04,17,234.059375
2011,04,18,235.4375
2011,04,19,233.83854167
2011,04,20,232.08645833
2011,04,21,232.03020833
2011,04,22,232.08645833
2011,04,23,232.33958333
2011,04,24,233.61979167
2011,04,25,232.46875
2011,04,26,231.92916667
2011,04,27,233.22916667
2011,04,28,233.01041667
2011,04,29,233.72272727
2011,04,30,231.95340909
2011,04,31,234.33571429
2012,04,1,234.571875
2012,04,2,233.9375
2012,04,3,232.99791667
2012,04,4,233.40625
2012,04,5,232.05520833
2012,04,6,234.73541667
2012,04,7,232.94166667
2012,04,8,232.85833333
2012,04,9,230.23125
2012,04,10,229.62395833
2012,04,11,231.77083333
2012,04,12,232.37291667
2012,04,13,231.42291667
2012,04,14,231.55625
2012,04,15,231.45208333
2012,04,16,230.99166667
2012,04,17,232.596875
